infinitive,meaning,type,pronoun,conjugation,note
falloir,to be necessary/must,present tense,il,faut,
falloir,to be necessary/must,imparfait,il,fallait,
falloir,to be necessary/must,simple future,il,faudra,
falloir,to be necessary/must,conditional,il,faudrait,
falloir,to be necessary/must,passe compose,il,a fallu,
falloir,to be necessary/must,present subjunctive,il,faille,
pleuvoir,to rain,present tense,il,pleut,
pleuvoir,to rain,imparfait,il,pleuvait,
pleuvoir,to rain,simple future,il,pleuvra,
pleuvoir,to rain,conditional,il,pleuvrait,
pleuvoir,to rain,passe compose,il,a plu,
pleuvoir,to rain,present subjunctive,il,pleuve,
neiger,to snow,present tense,il,neige,
neiger,to snow,imparfait,il,neigeait,
neiger,to snow,simple future,il,neigera,
neiger,to snow,conditional,il,neigerait,
neiger,to snow,passe compose,il,a neigé,
neiger,to snow,present subjunctive,il,neige,